name,mode,tariff_type,case,ev_bypassed,ev_charge_max_kw,offset_max_hours,n_days,dwelling_id,breakdown_path,existing_completed_runs,runs_added,target_total_runs,final_total_runs,status_counts,max_monovalent_hp_capacity_kw,output_folder,output_subdir,output_dir
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,0,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_0_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,0,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_0_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,0,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_0_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,0,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_0_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,0.0,7,0,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_0_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,1,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_1_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,1,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_1_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,1,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_1_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,1,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_1_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,0.0,7,1,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_1_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,2,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_2_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,2,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_2_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,2,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_2_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,2,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_2_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,0.0,7,2,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_2_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,3,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_3_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,3,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_3_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,3,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_3_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,3,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_3_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,0.0,7,3,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_3_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,4,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_4_runs_breakdown.csv,0,10,10,10,"{'optimal': 8, 'infeasible': 2}",,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,4,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_4_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,4,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_4_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,4,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_4_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,0.0,7,4,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_4_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,5,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_5_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,5,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_5_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,5,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_5_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,5,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_5_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,0.0,7,5,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_5_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,6,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_6_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,6,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_6_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,6,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_6_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,6,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_6_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,0.0,7,6,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_6_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,0.0,7,7,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_7_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,0.0,7,7,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_7_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,0.0,7,7,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_7_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,0.0,7,7,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_7_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset0p0h_start20210207_days7_runs10_seed42_dwAll
